timestamp,symbol,binance_pair,drift_pair,bina_price,drift_price,gap_perc
2022-04-21 20:45:00,BTC,BTCUSDT,1,41565.49803068,41622.65824905016,-0.137518425324703
2022-04-21 20:45:00,ETH,ETHUSDT,2,3064.61329719,3068.6104666113824,-0.1304298139359825
2022-04-21 20:45:00,LUNA,LUNAUSDT,3,97.3401232,97.33997321069847,0.0001540878484373
2022-04-21 20:45:00,AVAX,AVAXUSDT,4,77.71,77.82798224815775,-0.1518237654841832
2022-04-21 20:45:00,BNB,BNBUSDT,5,417.02,417.28763178058426,-0.0641772050703279
2022-04-21 20:45:00,MATIC,MATICUSDT,6,1.4307,1.432543859693951,-0.1288781501328689
2022-04-21 20:45:00,ATOM,ATOMUSDT,7,24.28407481,24.339136798676343,-0.226741142527154
2022-04-21 20:45:00,DOT,DOTUSDT,8,18.921,18.94754500719386,-0.1402938914109202
2022-04-21 20:45:00,ADA,ADAUSDT,9,0.9436,0.9437203968316408,-0.0127593081433635
2022-04-21 20:45:00,ALGO,ALGOUSDT,10,0.75013519,0.7509242361830079,-0.1051871973914331
2022-04-21 20:45:00,FTT,FTTUSDT,11,43.35,43.42304106356693,-0.168491496117476
2022-04-21 20:45:00,LTC,LTCUSDT,12,111.04172735,111.2120839138598,-0.1534167091285005
2022-04-21 20:45:00,XRP,XRPUSDT,13,0.7515,0.7532435391577486,-0.2320078719559026
2022-04-21 20:45:00,APE,APEUSDT,14,15.06444595,15.067942500667597,-0.0232106157717471
2022-04-21 20:45:00,DOGE,DOGEUSDT,15,0.13894308,0.1391031788154839,-0.1152261886550832
2022-04-21 20:45:00,NEAR,NEARUSDT,16,16.28,16.331377557858264,-0.315586964731346
2022-04-21 20:45:05,SOL,SOLUSDT,0,106.29,106.42162886926414,-0.1238393727200429
2022-04-21 20:45:05,BTC,BTCUSDT,1,41566.14470522,41622.65824905016,-0.1359605136125637
2022-04-21 20:45:05,ETH,ETHUSDT,2,3064.40816275,3068.6104666113824,-0.1371326415477014
2022-04-21 20:45:05,LUNA,LUNAUSDT,3,97.3405786,97.33997321069847,0.0006219290148251
2022-04-21 20:45:05,AVAX,AVAXUSDT,4,77.71164084,77.82798224815775,-0.1497091129465223
2022-04-21 20:45:05,BNB,BNBUSDT,5,417.06,417.28763178058426,-0.0545801037223087
2022-04-21 20:45:05,MATIC,MATICUSDT,6,1.431,1.4324779559712744,-0.1032813397116921
2022-04-21 20:45:05,ATOM,ATOMUSDT,7,24.287,24.339136798676343,-0.2146695708664869
2022-04-21 20:45:05,DOT,DOTUSDT,8,18.918,18.94754500719386,-0.1561740521929397
2022-04-21 20:45:05,ADA,ADAUSDT,9,0.943267,0.9437203968316408,-0.0480666483234128
2022-04-21 20:45:05,ALGO,ALGOUSDT,10,0.75020827,0.7509242361830079,-0.0954356558889764
2022-04-21 20:45:05,FTT,FTTUSDT,11,43.35,43.42304106356693,-0.168491496117476
2022-04-21 20:45:05,LTC,LTCUSDT,12,111.03978055,111.2120839138598,-0.1551726444400029
2022-04-21 20:45:05,XRP,XRPUSDT,13,0.7515,0.7532435391577486,-0.2320078719559026
2022-04-21 20:45:05,APE,APEUSDT,14,15.059,15.057658567447548,0.0089078461547963
2022-04-21 20:45:05,DOGE,DOGEUSDT,15,0.13896,0.1391031788154839,-0.1030359927201926
2022-04-21 20:45:05,NEAR,NEARUSDT,16,16.28807807,16.331377557858264,-0.2658354636573971
2022-04-21 20:45:10,SOL,SOLUSDT,0,106.29,106.42162886926414,-0.1238393727200429
2022-04-21 20:45:10,BTC,BTCUSDT,1,41569.62055862,41622.65824905016,-0.1275876222044591
2022-04-21 20:45:10,ETH,ETHUSDT,2,3064.44679555,3068.6104666113824,-0.1358702349614529
2022-04-21 20:45:10,LUNA,LUNAUSDT,3,97.33592525,97.33997321069847,-0.00415875298672
2022-04-21 20:45:10,AVAX,AVAXUSDT,4,77.72,77.82798224815775,-0.1389375297963892
2022-04-21 20:45:10,BNB,BNBUSDT,5,416.99903233,417.28763178058426,-0.0692086619414256
2022-04-21 20:45:10,MATIC,MATICUSDT,6,1.43103675,1.4324779559712744,-0.1007106191559569
2022-04-21 20:45:10,ATOM,ATOMUSDT,7,24.27717568,24.339136798676343,-0.2552237521079865
2022-04-21 20:45:10,DOT,DOTUSDT,8,18.919,18.94754500719386,-0.1508801056813737
2022-04-21 20:45:10,ADA,ADAUSDT,9,0.94323562,0.9437203968316408,-0.0513950937985909
2022-04-21 20:45:10,ALGO,ALGOUSDT,10,0.75022609,0.7509242361830079,-0.0930581050584227
2022-04-21 20:45:10,FTT,FTTUSDT,11,43.35,43.42304106356693,-0.168491496117476
2022-04-21 20:45:10,LTC,LTCUSDT,12,111.03903586,111.2120839138598,-0.1558443411540405
2022-04-21 20:45:10,XRP,XRPUSDT,13,0.7515,0.7532435391577486,-0.2320078719559026
2022-04-21 20:45:10,APE,APEUSDT,14,15.051,15.057658567447548,-0.0442400335362988
2022-04-21 20:45:10,DOGE,DOGEUSDT,15,0.13900547,0.1391031788154839,-0.0702913457175374
2022-04-21 20:45:10,NEAR,NEARUSDT,16,16.289,16.331377557858264,-0.2601605860289938
2022-04-21 20:45:15,SOL,SOLUSDT,0,106.32,106.42162886926414,-0.0955877250415224
2022-04-21 20:45:15,BTC,BTCUSDT,1,41570.26327852,41622.65824905016,-0.1260395446117781
2022-04-21 20:45:15,ETH,ETHUSDT,2,3064.53,3068.6104666113824,-0.1331514656858387
2022-04-21 20:45:15,LUNA,LUNAUSDT,3,97.366,97.33997321069847,0.0267308806991261
2022-04-21 20:45:15,AVAX,AVAXUSDT,4,77.73,77.82798224815775,-0.1260546097488081
2022-04-21 20:45:15,BNB,BNBUSDT,5,417.15496469,417.28763178058426,-0.031802831516788
2022-04-21 20:45:15,MATIC,MATICUSDT,6,1.43123377,1.4324779559712744,-0.0869310099687211
2022-04-21 20:45:15,ATOM,ATOMUSDT,7,24.27245396,24.33137683788446,-0.2427561629391149
2022-04-21 20:45:15,DOT,DOTUSDT,8,18.92,18.94754500719386,-0.145586718783604
2022-04-21 20:45:15,ADA,ADAUSDT,9,0.94328652,0.9437203968316408,-0.0459962930076384
2022-04-21 20:45:15,ALGO,ALGOUSDT,10,0.75023965,0.7509242361830079,-0.0912490006370388
2022-04-21 20:45:15,FTT,FTTUSDT,11,43.35724312,43.42304106356693,-0.1517576737635702
2022-04-21 20:45:15,LTC,LTCUSDT,12,111.04297792,111.2120839138598,-0.1522887777574254
2022-04-21 20:45:15,XRP,XRPUSDT,13,0.7516,0.7532435391577486,-0.2186720539846338
2022-04-21 20:45:15,APE,APEUSDT,14,15.05895924,15.057658567447548,0.0086372008299
2022-04-21 20:45:15,DOGE,DOGEUSDT,15,0.13896,0.1391031788154839,-0.1030359927201926
2022-04-21 20:45:15,NEAR,NEARUSDT,16,16.2989447,16.331377557858264,-0.1989874710002816
2022-04-21 20:45:20,SOL,SOLUSDT,0,106.32,106.42162886926414,-0.0955877250415224
2022-04-21 20:45:20,BTC,BTCUSDT,1,41568.38884313,41622.65824905016,-0.1305545089201345
2022-04-21 20:45:20,ETH,ETHUSDT,2,3064.46544735,3068.6104666113824,-0.1352607602401544
2022-04-21 20:45:20,LUNA,LUNAUSDT,3,97.35871172,97.33997321069847,0.0192468747485125
2022-04-21 20:45:20,AVAX,AVAXUSDT,4,77.73,77.82798224815775,-0.1260546097488081
2022-04-21 20:45:20,BNB,BNBUSDT,5,417.1,417.28763178058426,-0.0449848431033901
2022-04-21 20:45:20,MATIC,MATICUSDT,6,1.431,1.4324779559712744,-0.1032813397116921
2022-04-21 20:45:20,ATOM,ATOMUSDT,7,24.27020738,24.33137683788446,-0.2520351677541397
2022-04-21 20:45:20,DOT,DOTUSDT,8,18.92132789,18.94754500719386,-0.1385585480378195
2022-04-21 20:45:20,ADA,ADAUSDT,9,0.94326741,0.9437203968316408,-0.0480231614957146
2022-04-21 20:45:20,ALGO,ALGOUSDT,10,0.7503,0.7509242361830079,-0.083198211783005
2022-04-21 20:45:20,FTT,FTTUSDT,11,43.35639837,43.42304106356693,-0.1537090165982032
2022-04-21 20:45:20,LTC,LTCUSDT,12,111.04762952,111.2120839138598,-0.148093565410322
2022-04-21 20:45:20,XRP,XRPUSDT,13,0.7516,0.7532435391577486,-0.2186720539846338
2022-04-21 20:45:20,APE,APEUSDT,14,15.06,15.057658567447548,0.0155473609060558
2022-04-21 20:45:20,DOGE,DOGEUSDT,15,0.13895482,0.1391031788154839,-0.1067676641112364
2022-04-21 20:45:20,NEAR,NEARUSDT,16,16.302,16.331377557858264,-0.1802083048599232
2022-04-21 20:45:25,SOL,SOLUSDT,0,106.32,106.42162886926414,-0.0955877250415224
